termID,docID,freq,tf-idf,positions
8914,0,4,0.013553370341367622,"[0, 587, 1203, 1240]"
821,0,2,0.008380001279986286,"[1, 180]"
5147,0,29,0.1336202950241956,"[2, 115, 161, 325, 338, 366, 539, 575, 597, 661, 919, 971, 1275, 1307, 1455, 1503, 1610, 1636, 1682, 1705, 1710, 1774, 1800, 1803, 1841, 1861, 1870, 2081, 2261]"
6941,0,71,0.5893945101363182,"[3, 116, 136, 164, 225, 227, 254, 306, 328, 339, 351, 385, 444, 483, 535, 540, 559, 600, 621, 662, 821, 836, 909, 939, 962, 972, 980, 1064, 1117, 1122, 1171, 1182, 1276, 1281, 1314, 1353, 1359, 1408, 1417, 1426, 1444, 1469, 1504, 1613, 1656, 1664, 1683, 1698, 1706, 1745, 1805, 1823, 1839, 1848, 1871, 1919, 1969, 1987, 2082, 2111, 2137, 2150, 2156, 2192, 2209, 2217, 2242, 2262, 2307, 2324, 2367]"
528,0,68,0.5644905167502765,"[4, 117, 137, 226, 228, 255, 307, 331, 340, 352, 386, 445, 484, 536, 541, 560, 601, 622, 663, 822, 837, 910, 940, 963, 973, 981, 1065, 1118, 1123, 1168, 1172, 1183, 1277, 1282, 1354, 1360, 1409, 1418, 1427, 1445, 1465, 1470, 1505, 1614, 1657, 1665, 1684, 1699, 1707, 1746, 1806, 1824, 1840, 1872, 1920, 1970, 1988, 2083, 2112, 2138, 2151, 2193, 2210, 2218, 2263, 2308, 2325, 2368]"
7599,0,3,0.02490399338604161,"[5, 118, 389]"
10888,0,3,0.022499019222087902,"[6, 119, 390]"
10247,0,8,0.029218814235908927,"[7, 120, 391, 686, 691, 701, 792, 1087]"
8251,0,22,0.06341122727054754,"[8, 57, 82, 121, 169, 205, 264, 434, 543, 609, 627, 634, 732, 1261, 1285, 1606, 1765, 1780, 1820, 2095, 2274, 2329]"
1549,0,21,0.07476788689166235,"[9, 84, 122, 153, 170, 206, 435, 544, 610, 628, 635, 733, 924, 1286, 1607, 1758, 1766, 1781, 1821, 2096, 2275]"
9468,0,10,0.04070137758039895,"[10, 123, 171, 547, 629, 1750, 1782, 1822, 2097, 2276]"
8355,0,12,0.06393085827778718,"[11, 124, 188, 337, 637, 660, 970, 1274, 1502, 1600, 1704, 2080]"
1958,0,6,0.027603186479971488,"[12, 125, 189, 530, 638, 1689]"
10025,0,40,0.09388618608645423,"[13, 126, 157, 190, 216, 247, 262, 275, 279, 314, 531, 596, 618, 639, 670, 708, 724, 751, 767, 770, 916, 958, 1101, 1111, 1205, 1214, 1252, 1264, 1279, 1295, 1599, 1747, 1760, 1792, 1808, 1834, 2086, 2177, 2181, 2330]"
6910,0,1,0.008301331128680537,[14]
11157,0,7,0.058109317900763756,"[15, 17, 24, 104, 106, 175, 2362]"
5599,0,2,0.016602662257361074,"[16, 38]"
10443,0,1,0.008301331128680537,[18]
9332,0,1,0.008301331128680537,[19]
5278,0,1,0.008301331128680537,[20]
5583,0,1,0.007499673074029299,[21]
9585,0,1,0.008301331128680537,[22]
3989,0,1,0.008301331128680537,[23]
2701,0,6,0.020834931374650843,"[25, 36, 44, 63, 74, 81]"
6970,0,4,0.022241776544889097,"[26, 37, 45, 75]"
3016,0,2,0.016602662257361074,"[27, 65]"
1657,0,7,0.04851621342715984,"[28, 33, 59, 66, 71, 92, 96]"
6992,0,2,0.014999346148058599,"[29, 67]"
8556,0,7,0.058109317900763756,"[30, 68, 85, 89, 551, 1197, 1233]"
11046,0,8,0.027779908499534458,"[31, 69, 90, 135, 552, 613, 1198, 1234]"
6303,0,8,0.0215975540944861,"[32, 47, 70, 91, 553, 614, 1199, 1235]"
7027,0,6,0.04980798677208322,"[34, 61, 72, 79, 642, 1289]"
6935,0,11,0.09131464241548591,"[35, 43, 50, 62, 73, 80, 93, 99, 561, 1860, 1876]"
1338,0,2,0.016602662257361074,"[39, 42]"
4806,0,6,0.017293971073785695,"[40, 78, 546, 571, 1688, 1749]"
2682,0,1,0.006930887632451406,[41]
3518,0,1,0.008301331128680537,[46]
1652,0,6,0.037710005759938284,"[48, 554, 558, 615, 1200, 1236]"
9130,0,1,0.008301331128680537,[49]
9139,0,1,0.006930887632451406,[51]
1986,0,1,0.005560444136222274,[52]
5513,0,2,0.016602662257361074,"[54, 56]"
3098,0,1,0.006930887632451406,[55]
4582,0,3,0.0118713840807594,"[58, 87, 95]"
7339,0,1,0.008301331128680537,[60]
8796,0,1,0.006129229577800168,[64]
1516,0,1,0.008301331128680537,[76]
11446,0,1,0.008301331128680537,[77]
2032,0,1,0.006930887632451406,[83]
5345,0,1,0.005119259872330454,[86]
107,0,2,0.01297940673711917,"[94, 131]"
10481,0,1,0.008301331128680537,[97]
5861,0,1,0.007499673074029299,[98]
6911,0,1,0.008301331128680537,[100]
7343,0,2,0.008635203635358432,"[101, 177]"
118,0,2,0.008380001279986286,"[102, 179]"
1838,0,1,0.006489703368559585,[103]
